server_name,tools,with_description,with_schema,mean_desc_words
io.github.lanternrow/tiktok-organic-mcp,5,5,0,14.0
io.github.Moin105/karst,5,5,0,68.6
io.github.CSOAI-ORG/devops-ai-mcp,5,5,0,119.8
io.github.perceptdot/vercel,5,5,0,11.0
io.github.mcpsmiths/cost-guard-mcp,5,5,0,50.4
io.github.pexni/smails,5,5,0,7.0
io.github.marshally/mcp-refactoring,5,5,0,76.4
io.github.CSOAI-ORG/education-ai-mcp,5,5,0,119.8
io.github.CSOAI-ORG/haulage-uk-compliance-mcp,5,5,0,34.6
io.github.CSOAI-ORG/crm-ai-mcp,5,5,0,118.8
io.github.CSOAI-ORG/ai-self-audit-mcp,5,5,0,136.2
app.tabtree/tabtree,5,5,0,46.0
io.github.Tlalvarez/auxiliar-mcp,4,4,0,14.8
io.github.MicaelJarniac/repeaterbook,4,4,0,44.0
io.github.rhoneybul/etapa-mcp,4,4,0,12.8
io.github.pranciskus/newsmcp,4,4,0,35.8
io.github.GoogleCloudPlatform/gemini-cloud-assist-mcp,4,4,0,63.0
io.github.weiseer/api-changelog,4,4,0,12.0
io.github.putput-io-dev/putput-mcp,4,4,0,6.8
io.github.Michael-Drake/rentctl,4,4,0,11.2
io.github.orieg/yaml-workflow,4,0,0,0.0
io.github.Philongevity/phi-longevity-prism,4,4,0,12.5
io.github.PiQrypt/audit-trail,4,4,0,34.0
io.github.NikitaDatar/vectordecisions-mcp-server,4,4,0,13.0
io.github.wesseltl/excel-mcp,4,4,0,36.2
io.github.victorlane/flyan-mcp,4,4,0,39.2
io.github.phuocdu/agentpay-vn,4,4,0,51.2
io.github.SpicyRiceCakes/nelly-elephant-mcp,4,4,0,18.5
io.github.hydrolix/mcp-hydrolix,4,3,0,55.0
ai.wild-card/deepcontext,4,4,0,46.2
io.github.zekebuilds-lab/mcp-l402-gate,4,4,0,11.0
io.github.malamutemayhem/gdelt,4,4,0,27.2
io.github.cyanheads/who-gho-mcp-server,4,4,0,17.8
io.github.lhf552004/cloudpulse,4,4,0,35.8
io.github.kobuta23/cabin-flights,4,4,0,10.2
io.github.CSOAI-ORG/acord-bridge-mcp,4,4,0,14.0
io.github.smeet666/mcp-animenewsnetwork,4,0,4,0.0
io.github.juh5ng/k-data-mcp,4,4,0,18.8
io.github.Bahamas1717/aibvf-mcp,4,4,0,93.0
io.github.CSOAI-ORG/ip-network-ai-mcp,4,4,0,137.0
io.github.dpozimski/pageshot-mcp,4,4,0,17.8
io.github.fbossiere/proton-safe-mcp,4,0,0,0.0
io.github.izzzzzi/iz-tolk-mcp,4,4,0,10.5
io.github.infoinlet-marketplace/mcp-s3,4,4,0,7.5
io.github.ihor-sokoliuk/mcp-searxng,4,4,0,26.0
io.github.guidance-ai/guidance-lark-mcp,4,3,3,14.2
io.github.guzz-labs/epwforge-mcp,4,1,0,13.5
io.github.CSOAI-ORG/ai-bom-mcp,4,4,0,132.2
io.github.wisdomrock/code-context-gate,4,4,0,12.0
io.github.cbetz/ratebook,4,4,0,48.8
io.github.atomno-mcp/mcp-rosreestr,4,4,0,9.0
io.github.Ensi81/avel,4,4,0,51.5
io.github.mcn92/pikelet,4,4,0,12.0
io.github.CSOAI-ORG/mortgage-calculator-ai-mcp,4,4,0,133.2
io.github.Yveshby27/brick-bacnet-mcp,4,4,0,14.2
io.github.nickklos10/querypilot,4,4,0,7.2
io.github.nickgeorgeseo/gatehouse,4,4,0,23.0
io.github.CSOAI-ORG/note-taking-ai-mcp,4,4,0,135.8
io.github.billy12151/memory-arbiter-mcp,4,4,0,62.8
io.github.ariaxhan/agentmailkit,4,4,0,28.8
io.github.CSOAI-ORG/meok-laia-aquatic-mcp,4,4,0,14.0
com.instavar/mcp-server,4,4,4,25.2
io.github.atarkowska/fastmcp-sqltools,4,4,0,36.0
io.github.trycoin-ai/agentrisk,3,3,0,122.7
io.github.teamsincetoday/recipe-commerce-mcp,3,3,0,77.3
io.github.thegoldbarometer/thegoldbarometer,3,3,0,8.3
me.sendable/sendable,3,3,0,14.7
io.github.sathvic-kollu/techtenstein-pdf,3,3,0,38.3
io.github.sathergate/clocktower,3,3,0,9.7
io.github.stabem/newsintel,3,3,0,7.3
io.github.stefanoshea/rlm-tools,3,3,0,14.0
io.github.ryudi84/landing,3,3,0,23.7
io.github.xt765/mcp-document-converter,3,3,3,12.7
io.github.sukrutkrdg/warden402-mcp,3,3,0,9.3
vip.witnessd/witnessd,3,3,0,40.3
io.github.raunakkathuria/lexilint,3,3,0,22.7
io.github.aidc2026ai-melon/aidc-mcp-server,3,3,3,15.0
io.github.inviti8/obolus,3,0,0,0.0
io.github.MRNAQA/sourceweave-web-search,3,0,0,0.0
io.github.Madia333/lintbase-mcp,3,3,3,10.7
io.github.OilpriceAPI/mcp-server,3,3,0,8.7
io.github.ParkSangGwon/admob-mcp-server,3,3,0,6.0
io.github.Qiskit/qiskit-docs-mcp-server,3,3,0,126.7
io.github.SLP-DEV1/qwen-dap-mcp,3,3,2,22.0
io.github.enrichgateagent-png/beacon-mcp,3,3,0,11.7
io.github.alyiox/mcp-docs-ask,3,0,0,0.0
io.github.DrBaher/compare-cli-mcp,3,3,0,16.7
io.github.anzy-renlab-ai/pronounce,3,3,0,64.3
io.github.didrod205/korean-patent-mcp,3,3,0,8.0
io.github.appwrite/mcp,3,0,0,0.0
io.github.arnavranjan005/mcp-telemetry-server,3,3,0,18.7
io.github.daedalus/mcp-oeis,3,3,0,71.7
io.github.cyanheads/tmdb-mcp-server,3,3,0,23.7
io.github.bch1212/agentvault,3,3,0,8.3
io.github.qinisolabs/floodwise,3,3,0,18.7
io.github.Hebline/mcp-server,3,3,0,14.0
io.github.blueskylineassets/agent-observability,3,3,0,13.7
io.github.Alberto-Codes/judgevet,3,0,0,0.0
io.github.Baldri/nexbid,3,3,0,19.3
ai.inite/inite-visibility,3,3,0,12.0
io.github.Dhi13man/oorep-mcp,3,3,0,5.7
io.github.Antonytm/mcp-sitecore-server,3,3,0,6.3
io.github.pkotecha-eng/aria-mcp-server,3,3,0,108.3
io.github.DIDA-AI/hotelbooking-ai,3,3,0,29.7
io.github.CodeCraftersLLC/local-voice-mcp,3,3,0,20.3
com.aioproductos/mcp,3,3,0,10.0
io.github.matematicsolutions/mt-eli-mcp,3,3,0,47.3
io.github.malamutemayhem/usgs,3,3,0,6.7
io.github.pageguard/pageguard-mcp,3,3,0,39.7
io.github.api-freaks/apifreaks-mcp,2,2,2,42.5
io.github.apiihub33-cyber/ryterpro-mcp,2,2,0,8.0
io.github.ElToro1855/ozav-mcp-server,2,2,0,22.5
com.getmcpads/x-ads,2,2,0,35.5
com.pulsemcp/slack,2,2,0,8.5
com.636865636b73756d/mcp-v1,2,2,0,12.5
io.github.theYahia/robokassa-mcp,2,2,0,29.5
io.github.askuma/workflow-generator,2,0,0,0.0
io.github.As-The-Geek-Learns/content-repurposer,2,2,0,20.5
io.github.anishmoncivarghese/docsift,2,2,0,25.0
io.github.wundervault/wundervault-mcp,2,2,0,20.0
io.github.Rosentic/rosentic,2,2,0,79.5
io.github.Braynexservices/nigeria-quidax-crypto,2,2,0,15.5
io.github.Cloto-dev/cpersona,2,0,0,0.0
io.github.MukundaKatta/json5-mcp,2,2,0,14.0
io.github.KamaruSama/mcp-screenshot,2,2,0,29.5
io.github.cpfhub/cpfhub,2,2,0,11.0
io.github.Hustada/collective-memory,2,2,0,16.5
io.github.DocMinus/decimer-mcp-server,2,2,0,8.5
io.github.Jiansen/mcp-doctor,2,2,0,49.5
io.github.bellvijay/weather,2,2,0,6.0
io.github.cyanheads/astronomy-mcp-server,2,2,0,11.5
io.github.mefengl/jail-mcp,2,2,0,74.5
io.github.html2pdfconverter/mcp-server,2,2,0,28.5
io.github.jmcentire/kindex,2,2,0,13.5
io.github.kant19801201behax5/phoenix-mcp-server,2,2,0,48.0
io.github.klewicki7/vibelens-mcp,2,2,0,29.5
io.github.sathergate/searchcraft,2,2,0,21.0
io.github.shawnwollenberg/walletlens,2,2,2,16.0
io.github.felixAnhalt/Figma-Context-MCP,2,2,2,28.0
io.github.runapi-builder/z-image-mcp,2,2,0,10.5
io.github.runapi-builder/grok-imagine-mcp,2,2,0,10.5
io.github.marklanetech/rabbytte,2,2,0,24.0
io.github.eaisdevelopment/mcp-multi-edit,2,2,0,14.5
io.github.shmindmaster/gitpin,2,2,2,19.5
io.github.pawvej/vidgrid,2,2,0,76.0
io.github.daleweaver1981/tariffmonitor-mcp,2,2,0,52.0
io.github.spyyps/menus-recommender,2,2,0,38.5
io.github.podop29/shotpipe-mcp,2,2,0,18.5
io.github.cyanheads/pubmed-mcp-server,2,2,0,7.0
io.github.cyanheads/socrata-mcp-server,2,2,0,46.5
io.github.petalframework/petal-components-mcp,2,2,0,21.5
io.github.l10n-dev/ai-l10n-mcp,1,1,0,27.0
io.github.pooriaarab/aigentify,1,1,0,6.0
io.github.GstXu/mcp_test,1,0,0,0.0
io.github.Fluke-Studio/uk-business-intelligence,1,1,0,12.0
io.github.ExaDev/agent-comms,1,0,1,0.0
io.github.ni-c/ntfy-mcp,1,1,0,13.0
io.github.AlexanderLawson17/revettr-mcp,1,1,0,101.0
io.github.leadbay/leadbay-mcp,1,1,0,1.0
com.parkerfawcett/rebuild-dossier,1,1,0,3.0
io.github.ryudi84/readme,1,1,0,7.0
io.github.ludmila-omlopes/youtube-video-analyzer,1,0,1,0.0
io.github.openpulsechain/analytics,1,1,0,30.0
io.github.nickoc/bearing-local-business,1,1,0,3.0
io.github.infoinlet-marketplace/mcp-openapi,1,1,0,11.0
io.github.secureprivacy/secure-privacy-mcp,1,1,0,9.0
io.github.holmesclaw-hash/dead-drop-content,1,1,0,16.0
io.github.sekharsdet/five46,1,0,1,0.0
io.github.YokuApp/mcp-server,1,1,0,18.0
io.github.bharath-krishna/mcp-test,1,1,1,5.0
io.github.berkayderin/nextscan,1,1,0,17.0
io.github.sugukurukabe/koko-call,1,1,0,10.0
io.github.backblaze-labs/b2-mcp,1,0,0,0.0
io.github.dahshanlabs/klypix-mcp,1,0,1,0.0
io.github.daleweaver1981/listingflow-mcp,1,1,0,24.0
io.github.thomenz/brdata-mcp,1,1,1,14.0
io.github.dgtalquantumleap-ai/ebenova-legal-docs,1,1,0,10.0
io.github.apexapi/apexapi-mcp,1,1,0,10.0
io.github.domdomegg/time-mcp-pypi,1,1,1,11.0
io.github.emog33k/winrdp-mcp,1,0,0,0.0
io.github.WimSuenens/gs1belu-mpm-upload,1,1,0,69.0
io.github.Lukie-81/reporelay,1,1,0,12.0
io.github.TelcharFromNogrod/keen,1,1,0,15.0
io.github.SebastianMaciel/jsx-notation,1,1,0,19.0
io.github.RudrenduPaul/freelancer-payment-protection,1,1,0,50.0
io.github.formulahendry/code-runner,1,1,0,7.0
io.github.foxintheloop/uptier,1,1,0,4.0
io.github.getrelove/solve,1,1,0,14.0
io.github.webmoleai/mcp-license-audit,1,1,0,3.0
io.github.sharafutdinovdi/revit-model-mcp,1,1,0,38.0
io.github.MukundaKatta/jmespath-mcp,1,1,0,16.0
io.github.cyanheads/musicbrainz-mcp-server,1,1,0,40.0
io.github.wesseltl/data-cleaner-agent,1,1,0,76.0
ai.elicitly/elicitly,1,1,0,13.0
