server_name,tools,with_description,with_schema,mean_desc_words
io.github.yevhen-kalyna/autoria-mcp,30,28,0,23.5
io.github.sharozdawa/robotstxt-ai,30,30,0,6.7
io.github.malkreide/swiss-environment-mcp,30,22,0,60.7
io.github.dengyier/OpenWorkProof,29,29,0,25.9
io.github.WagoAlex/wago-plc-mcp-server,29,29,0,18.4
io.github.MendleM/pipepost,29,29,0,42.2
io.github.symbo-ls/symbols-mcp,28,27,0,76.8
io.github.MAG-Cie/mcp-microsoft-todo,28,28,0,14.5
io.github.nicholsonpeter/acumatica,28,28,0,80.0
io.github.kandikandikandi/agentic-diaries,27,27,0,29.2
io.github.helbertparanhos/postforme-mcp-pro,27,27,0,13.6
com.getmcpads/google-analytics,27,27,0,18.9
io.github.AIops-tools/truenas-aiops,26,26,0,43.4
dev.homespun/homespun,26,26,0,15.8
io.github.SidneyBissoli/ibge-br-mcp,25,24,20,42.4
io.github.philderks/fabricator-panel-mcp,25,25,0,21.0
io.github.DevHusnainAi/zerodom,24,24,0,55.4
io.github.quantumproxies/quanticdata-mcp,24,24,0,23.3
io.github.quantumproxies/quantumproxies-mcp,24,24,0,23.3
io.github.syuaibsyuaib/ssyubix-pixelart-mcp,24,24,0,35.3
io.github.kumarprobeops/probeops-mcp-server,24,24,0,24.6
io.github.Oortonaut/mcacp,24,24,0,17.2
io.github.venomseven/nslookup,24,24,0,32.1
io.github.dillan/kip-mcp-server,24,24,0,17.6
io.github.diko316/kbdb,23,23,0,25.3
io.github.vuluu2k/webcake-landing-mcp,23,23,0,31.2
io.github.codespar/mcp-iugu,23,23,0,9.2
io.github.DanielBlomma/cortex,23,23,13,12.2
io.github.codespar/mcp-nfe-io,22,22,0,11.1
app.peil/peil-mcp,22,22,0,21.6
io.github.alias8818/enoch,22,22,0,7.0
io.github.sbrunner-atx/fldigi-mcp,22,22,0,45.0
io.github.rsksmart/rsk-mcp-server,22,22,0,13.8
io.github.AKzar1el/mcp-trendpulse,22,0,0,0.0
io.github.anp2dev/anp2-mcp-server,21,21,0,95.8
io.github.beee003/vynn-mcp,21,21,0,29.7
io.github.cesteral/amazon-dsp-mcp,21,21,0,14.4
io.github.setheerwagen/mcp-modelmanager,20,20,0,44.2
io.github.mshegolev/allure-testops-mcp,20,20,0,87.7
io.github.jeresalmisto/calcfi-mcp,20,20,0,8.7
io.github.abhiyoheswaran1/projscan,20,20,0,8.4
io.github.brentspore/buildutilities-mcp,20,20,0,21.5
io.github.RolloutsAI/mails-agent-email,20,20,0,11.4
io.github.cesteral/snapchat-mcp,20,20,0,14.0
io.github.codespar/mcp-conta-azul,20,20,0,6.0
io.github.codespar/mcp-dock,20,20,0,19.0
io.github.razvangirgiz/wazap,20,20,0,26.4
io.github.docdiagram/docdiagram-mcp,20,19,0,45.4
io.github.AIops-tools/compliance-aiops,20,20,0,57.6
com.getmcpads/google-search-console,20,20,0,16.3
io.github.abd3lraouf-studios/app-store-connect-mcp,19,19,0,12.1
io.github.blazickjp/arxiv-mcp-server,19,0,0,0.0
io.scrapfly.mcp/mcp,19,19,0,6.4
io.github.NyxToolsDev/quickbooks-mcp-server,19,19,0,55.2
com.clearedindex/mcp,19,19,0,21.7
io.github.zackpeters93/ugs-mcp,19,19,0,26.2
io.github.renl/meshimize-mcp,19,19,0,26.0
com.aicandidatehub/mcp,18,18,0,30.9
io.github.sharedmemoryai/memory,18,18,0,20.2
io.github.AIops-tools/olvm-aiops,18,18,0,73.0
com.geekflare/mcp,18,18,0,6.9
io.github.tinqiao-oss/clawtouch-mcp,18,2,4,0.4
io.github.virgilvox/vue-harvest,18,18,0,11.4
io.github.lulzasaur9192/agent-infra-mcp,18,18,0,15.1
io.github.markswendsen-code/chipotle,18,18,0,16.7
io.github.codespar/mcp-coinbase-commerce,18,18,0,24.1
ai.robosystems/xbrlkit,18,5,0,3.2
io.github.codespar/mcp-celcoin,18,18,0,10.1
io.github.omniologynow-rgb/mcp-server,18,18,0,20.7
io.github.renkagod/osint-toolbox-mcp,17,0,0,0.0
io.github.riponcm/projectmem,17,17,0,51.5
io.github.egoughnour/massive-context-mcp,17,17,0,38.7
io.github.mizukaizen/x402-tools-mcp,17,17,0,14.7
io.github.aplaceforallmystuff/mcp-pickaxe,17,17,0,10.0
io.github.json-contracts/json-contracts,17,17,0,9.5
io.github.jarahkon/hass-mcp-server,17,17,0,8.4
io.github.shigechika/aruba-central-mcp,17,17,0,57.4
io.github.itcons-app/mcp,17,17,0,9.8
io.github.antbotlab/mac-use-mcp,17,17,0,17.1
eu.ansvar/slovenian-law-mcp,17,17,0,26.8
io.github.CSOAI-ORG/openchronicle-mcp,17,17,0,66.5
io.github.miller-joe/youtube-mcp,16,16,0,15.1
io.github.SebastianBO/financial-data,16,16,0,26.6
io.github.YawLabs/vew-mcp,16,16,0,23.6
io.github.YummyTastyCode/colab-drive-mcp,16,16,0,9.1
io.github.RodrigueDev13/obambu-cpanel-mcp,16,16,0,7.8
io.github.figuard/figuard-mcp,16,16,0,13.1
space.r3plica/catalog,16,16,0,14.6
io.github.lanternrow/namecheap-api-mcp,16,16,0,16.8
io.github.wedsamuel1230/electronic-mcp-server,16,16,0,44.6
io.github.gooodbilling/mcp-server,16,16,0,1.6
com.scrapeer/mcp-server,15,15,0,9.7
io.github.Softeria/ms-365-mcp-server,15,15,0,31.7
io.github.geovicco-dev/bhoonidhi-mcp,15,15,0,77.9
io.github.KingPeque/coinvoyage,15,15,0,13.5
io.github.andylbrummer/molecular-mcp,15,12,12,3.0
io.github.amineutron/catt-mcp,15,10,9,5.0
io.github.ufhouck/chirak-mcp,15,15,0,15.5
io.github.theanshsonkar/emfirge,15,15,0,14.5
io.github.adebayojuwon200-pixel/layergen-mcp,15,15,0,11.0
io.github.raditotev/agent-trust,15,15,0,49.6
io.github.syamaner/coffee-roaster-mcp,15,15,0,14.0
io.github.malkreide/swiss-road-mobility-mcp,15,15,0,91.9
io.github.h2bis-dev/h2bis-projectbrain-mcp,15,15,0,9.6
io.github.SAP-samples/hana-cli,15,15,0,5.1
io.github.ykshah1309/stealth-agent-browser-mcp,14,14,0,14.6
com.aioproductos/mcp-studio,14,14,0,45.3
com.arcself/arc-security,14,14,0,44.0
io.github.mrmaciej1/justfill,14,14,0,42.9
io.github.n24q02m/mnemo-mcp,14,2,0,4.9
io.github.jackdark425/aigroup-mdtoword-mcp,14,14,1,3.6
io.github.matematicsolutions/it-eli-mcp,14,14,0,58.9
io.github.lightnet19/stb-mcp-server,14,14,0,14.6
io.github.startreedata/mcp-pinot,14,14,0,73.5
io.github.daedalus/mcp-capstone,14,14,0,30.5
io.github.mfukushim/map-traveler-mcp,14,14,0,6.1
io.github.supertone-inc/supertone-mcp,14,13,0,35.5
com.the13f/mcp,14,0,0,0.0
io.github.rog0x/env,14,14,0,10.4
io.github.remembra-ai/remembra,14,14,0,71.7
io.github.hypeprinter007-stack/anchor-x402,14,14,0,29.5
io.github.Fannon/u-he-preset-randomizer,14,14,0,29.6
io.github.Justice219/roblox-studio-mcp,14,14,0,9.9
io.github.worakorn-prince/th-memory-mcp,14,14,14,21.5
io.github.opcastil11/rogerrat,14,14,0,23.1
io.github.TheoEwzZer/winsight,14,14,0,26.7
eu.ansvar/egyptian-law-mcp,13,13,0,12.5
io.github.bch1212/agent-commerce-mcp,13,13,13,11.2
io.github.SanggonBoy/PyreCrawl,13,13,0,87.5
io.github.codespar/mcp-banco-do-brasil,13,13,0,12.9
io.github.Rakesh1002/namemyapp,13,13,0,27.3
io.github.NaNMesh/nan-forget,13,13,0,37.5
io.github.leek-emperor/personae,13,13,0,5.8
eu.ansvar/bangladeshi-law-mcp,13,13,0,12.5
io.github.kalehdoo/warehouse-mcp,13,13,0,19.1
ai.radmail/radmail-mcp,13,13,0,19.4
io.github.nugehs/repoctx,13,13,0,44.0
io.github.mikejj-creation/stocksense,13,13,0,25.4
io.github.direct-web/drop-beacon-mcp,13,13,0,19.2
eu.ansvar/india-law-mcp,13,13,0,14.5
eu.ansvar/malawi-law-mcp,13,13,0,12.6
eu.ansvar/pakistani-law-mcp,13,13,0,12.5
eu.ansvar/portuguese-law-mcp,13,13,0,12.5
io.github.MaxMLang/cxg-census-mcp,13,10,10,7.5
eu.ansvar/rwandan-law-mcp,13,13,0,12.5
io.github.Junhui20/mycal,13,13,0,16.2
eu.ansvar/switzerland-law-mcp,13,13,0,12.5
io.github.high5-ventures/apple-reminders,13,13,0,12.2
eu.ansvar/uruguayan-law-mcp,13,13,0,12.5
eu.ansvar/ukrainian-law-mcp,13,13,0,12.5
io.github.michielinksee/bantou,13,13,0,26.4
io.github.FROWNINGdev/django-orm-lens,13,0,0,0.0
io.github.nan786521/recon-kit-mcp,13,13,0,110.5
io.github.GalenGoodwick/cartridge-cafe,13,13,0,47.8
io.github.nagarjunr/sparkplug-b,13,13,0,31.8
io.github.SurajKGoyal/amnesic,12,12,0,90.3
com.tollwarden/tollwarden,12,12,0,33.9
io.github.HypnoLabs-io/agentchurch-mcp,12,12,0,21.8
email.templated/mcp,12,12,0,14.2
io.github.joe-watkins/magentaa11y,12,12,0,15.8
io.github.Anselmoo/mcp-ooxml-ledger,12,12,0,21.7
io.github.gaopengbin/cesium-mcp-dev,12,12,0,3.4
io.github.CSOAI-ORG/currency-converter-ai-mcp,12,12,0,135.9
io.github.withpica/pica-enrichment,12,12,0,12.2
io.github.gil-dobby/dobby,12,12,0,6.0
io.github.MailFlat/mailflat-mcp,12,12,0,41.9
