metric,value,share_pct
repositories resolved,751.0,100.0
no licence declared,153.0,20.4
archived,9.0,1.2
forks,3.0,0.4
with no stars,388.0,51.7
with >= 100 stars,21.0,2.8
no push in 180 days,42.0,5.6
median stars,0.0,
median age (days),114.0,
